"","subject","time","outcome","y","cluster"
"1",1,0,1,17.1425481017192,1
"2",1,0,2,1.48081899923827,1
"3",1,0,3,-13.8050234866763,1
"4",1,0,4,3.95593331770566,1
"5",1,0,5,18.8321482883502,1
"6",1,0.983511510072276,1,7.47933269520706,1
"7",1,0.983511510072276,2,14.0376702571556,1
"8",1,0.983511510072276,3,-10.7514210984599,1
"9",1,0.983511510072276,4,-11.3888721343832,1
"10",1,0.983511510072276,5,6.40147498507643,1
"11",1,1.45408384129405,1,-4.34965827360388,1
"12",1,1.45408384129405,2,1.88606601796976,1
"13",1,1.45408384129405,3,1.43659267239929,1
"14",1,1.45408384129405,4,-1.47396013942351,1
"15",1,1.45408384129405,5,-1.98023447243628,1
"16",1,2.59753985889256,1,18.9152842298698,1
"17",1,2.59753985889256,2,6.04835891150598,1
"18",1,2.59753985889256,3,0.481777742788147,1
"19",1,2.59753985889256,4,12.8858722847663,1
"20",1,2.59753985889256,5,-7.05599967186614,1
"21",1,3.74766852450557,1,32.4306711649866,1
"22",1,3.74766852450557,2,6.38555634895973,1
"23",1,3.74766852450557,3,-0.23938784257196,1
"24",1,3.74766852450557,4,10.2572207553448,1
"25",1,3.74766852450557,5,11.4942207489907,1
"26",1,5.1279095641803,1,38.9220822707642,1
"27",1,5.1279095641803,2,14.470393909755,1
"28",1,5.1279095641803,3,15.3188698500557,1
"29",1,5.1279095641803,4,10.7419887205538,1
"30",1,5.1279095641803,5,-7.61173853179268,1
"31",1,6.29126503993757,1,27.7140028666401,1
"32",1,6.29126503993757,2,6.4880093205155,1
"33",1,6.29126503993757,3,5.27751878942672,1
"34",1,6.29126503993757,4,1.95041458265248,1
"35",1,6.29126503993757,5,-1.96647739801185,1
"36",1,6.56216062174644,1,39.5370889652732,1
"37",1,6.56216062174644,2,-1.60068259581112,1
"38",1,6.56216062174644,3,14.8960259430047,1
"39",1,6.56216062174644,4,3.0141824548385,1
"40",1,6.56216062174644,5,-3.91046975919402,1
"41",1,7.13730444957037,1,12.7142650867058,1
"42",1,7.13730444957037,2,6.2515092525384,1
"43",1,7.13730444957037,3,12.420181987497,1
"44",1,7.13730444957037,4,-4.87612857521239,1
"45",1,7.13730444957037,5,-31.394452170885,1
"46",1,8.59375478839502,1,16.5206343195048,1
"47",1,8.59375478839502,2,7.45894425717398,1
"48",1,8.59375478839502,3,4.81097106300602,1
"49",1,8.59375478839502,4,2.50854756795201,1
"50",1,8.59375478839502,5,-11.0049536951637,1
"51",1,9.52972347859759,1,32.9025340546027,1
"52",1,9.52972347859759,2,12.010641509824,1
"53",1,9.52972347859759,3,15.8490246964364,1
"54",1,9.52972347859759,4,-2.18491165330576,1
"55",1,9.52972347859759,5,-13.3112042758032,1
"56",1,10.6624217596836,1,26.8944373858678,1
"57",1,10.6624217596836,2,6.28163511319216,1
"58",1,10.6624217596836,3,0.507188535047913,1
"59",1,10.6624217596836,4,6.77000076224423,1
"60",1,10.6624217596836,5,-17.2446428388508,1
"61",2,0,1,-6.77110212101832,1
"62",2,0,2,-27.4901302416569,1
"63",2,0,3,-20.8438469514557,1
"64",2,0,4,1.5277525886818,1
