"","subject","time","outcome","y","cluster"
"1",1,0,1,-6.95330868485991,1
"2",1,0,2,1.10742532981366,1
"3",1,0,3,-12.5353122280937,1
"4",1,0,4,1.41780148006433,1
"5",1,0,5,0.322582072506694,1
"6",1,1.75160611502361,1,16.6234675259217,1
"7",1,1.75160611502361,2,6.79657232788546,1
"8",1,1.75160611502361,3,-1.25730196111904,1
"9",1,1.75160611502361,4,7.18627296128912,1
"10",1,1.75160611502361,5,-3.57577946348172,1
"11",1,4.1816586725181,1,22.8557167567709,1
"12",1,4.1816586725181,2,5.37304891467484,1
"13",1,4.1816586725181,3,3.27718598039924,1
"14",1,4.1816586725181,4,0.558230565356787,1
"15",1,4.1816586725181,5,-5.8998674732658,1
"16",1,4.67604057188146,1,24.5150537722788,1
"17",1,4.67604057188146,2,9.25901749205279,1
"18",1,4.67604057188146,3,7.15474552064616,1
"19",1,4.67604057188146,4,8.88854394836563,1
"20",1,4.67604057188146,5,1.80868454765478,1
"21",1,4.86244168272242,1,25.8101248741027,1
"22",1,4.86244168272242,2,15.1391795099577,1
"23",1,4.86244168272242,3,11.9401788849912,1
"24",1,4.86244168272242,4,11.9865609877665,1
"25",1,4.86244168272242,5,3.18474038088357,1
"26",1,4.96451987850014,1,33.3343982022343,1
"27",1,4.96451987850014,2,10.6528289787246,1
"28",1,4.96451987850014,3,8.40020686352621,1
"29",1,4.96451987850014,4,5.35395000031833,1
"30",1,4.96451987850014,5,-5.65296888508395,1
"31",1,7.28935216402169,1,26.5348974392158,1
"32",1,7.28935216402169,2,7.33544022473385,1
"33",1,7.28935216402169,3,13.2572329127537,1
"34",1,7.28935216402169,4,10.327338920452,1
"35",1,7.28935216402169,5,0.157541398408424,1
"36",1,7.5110793649219,1,22.1425693544587,1
"37",1,7.5110793649219,2,5.16298440446116,1
"38",1,7.5110793649219,3,0.107771478954797,1
"39",1,7.5110793649219,4,4.71044350064312,1
"40",1,7.5110793649219,5,-7.04888352485432,1
"41",1,9.24551559227984,1,15.5729930771169,1
"42",1,9.24551559227984,2,9.25635884735181,1
"43",1,9.24551559227984,3,1.31129502357203,1
"44",1,9.24551559227984,4,-3.41960169575851,1
"45",1,9.24551559227984,5,-10.3355633144637,1
"46",1,9.47755783703178,1,17.3953279699963,1
"47",1,9.47755783703178,2,4.17949642382751,1
"48",1,9.47755783703178,3,1.98916506476354,1
"49",1,9.47755783703178,4,3.84939391807502,1
"50",1,9.47755783703178,5,-12.1583906481621,1
"51",1,9.71676256647334,1,22.452217458242,1
"52",1,9.71676256647334,2,14.88399903831,1
"53",1,9.71676256647334,3,11.5736005194601,1
"54",1,9.71676256647334,4,9.1820108639466,1
"55",1,9.71676256647334,5,-4.45146030098506,1
"56",2,0,1,-9.05346309757712,1
"57",2,0,2,-7.45214868730415,1
"58",2,0,3,-12.6996582359409,1
"59",2,0,4,-1.28666721688063,1
"60",2,0,5,-1.39999338212452,1
"61",2,6.49519102135673,1,17.4830337922904,1
"62",2,6.49519102135673,2,-5.31481627181826,1
"63",2,6.49519102135673,3,4.70128052865751,1
"64",2,6.49519102135673,4,-0.581838090094946,1
"65",2,6.49519102135673,5,-11.9290870907733,1
"66",2,9.4195288188057,1,24.08695150696,1
"67",2,9.4195288188057,2,12.9639721415626,1
"68",2,9.4195288188057,3,12.6776491837276,1
"69",2,9.4195288188057,4,8.52113874996065,1
"70",2,9.4195288188057,5,-6.46669461138109,1
"71",2,10.4039349621162,1,21.4150965163668,1
"72",2,10.4039349621162,2,8.29394168905398,1
"73",2,10.4039349621162,3,14.1895786004945,1
"74",2,10.4039349621162,4,11.0666819438381,1
"75",2,10.4039349621162,5,1.18355124277652,1
"76",3,0,1,-3.47340940354861,1
"77",3,0,2,-9.02116978881835,1
"78",3,0,3,-14.7275824588389,1
"79",3,0,4,-4.550173975881,1
"80",3,0,5,-7.55320406081754,1
"81",3,1.26265969267115,1,11.1864133944408,1
"82",3,1.26265969267115,2,-2.91087165730242,1
"83",3,1.26265969267115,3,-0.486841318442614,1
"84",3,1.26265969267115,4,-1.39879035856267,1
"85",3,1.26265969267115,5,-1.73616417744236,1
"86",3,3.07348287466448,1,20.007793452186,1
"87",3,3.07348287466448,2,-4.22723165770486,1
"88",3,3.07348287466448,3,0.194433844789035,1
"89",3,3.07348287466448,4,-3.89628017535209,1
"90",3,3.07348287466448,5,-5.08469969223086,1
"91",3,5.975276166806,1,23.1334490483693,1
"92",3,5.975276166806,2,-0.742569299064239,1
"93",3,5.975276166806,3,14.4184709226874,1
"94",3,5.975276166806,4,7.9698135970988,1
"95",3,5.975276166806,5,-2.64679612360206,1
"96",3,6.37060329690576,1,13.8738958128804,1
"97",3,6.37060329690576,2,-7.57398313746325,1
"98",3,6.37060329690576,3,2.51139722064937,1
"99",3,6.37060329690576,4,-0.189561111556519,1
"100",3,6.37060329690576,5,-14.6278780521099,1
"101",3,7.84700080507901,1,26.7827401356419,1
"102",3,7.84700080507901,2,1.53552850484066,1
"103",3,7.84700080507901,3,9.87243327695344,1
"104",3,7.84700080507901,4,6.88384160772669,1
"105",3,7.84700080507901,5,-14.3873959807992,1
"106",3,8.20087071519811,1,24.1293841176846,1
"107",3,8.20087071519811,2,0.0795968306359363,1
"108",3,8.20087071519811,3,8.03658347455817,1
"109",3,8.20087071519811,4,7.18226293521869,1
"110",3,8.20087071519811,5,-8.01157329823539,1
